corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00260693,평안물산,037240,,False,1168137437,1101111192626,E,2026-03-14
00260745,서울평가정보,036120,KOSDAQ,True,1148147958,1101110853419,K,2026-03-14
00260879,카페24,042000,KOSDAQ,True,1188120586,1101111698145,K,2026-03-14
00260888,엔써커뮤니티,037750,,False,2208126641,1101111156549,E,2026-03-14
00260903,쓰리소프트,036360,,False,1168137043,1101110980676,E,2026-03-14
00260921,아이엠아이티,038100,,False,1138127487,1101110950710,E,2026-03-14
00260930,에스엠,041510,KOSDAQ,True,1148163109,1101111128340,K,2026-03-14
00260958,케이티알파,036030,KOSDAQ,True,2118179649,1101110822026,K,2026-03-14
00260985,한빛네트,036720,,False,2088124283,1101111443079,E,2026-03-14
00261009,감성코퍼레이션,036620,KOSDAQ,True,1058166548,1101111061954,K,2026-03-14
00261054,EG,037370,KOSDAQ,True,3058108153,1615110003619,K,2026-03-14
00261124,어울림정보기술,038320,,False,1248152875,1301110045210,E,2026-03-14
00261188,글로포스트,037830,,False,2148624959,1101111569958,E,2026-03-14
00261212,시노펙스그린테크,037320,,False,1068163409,1101111320459,E,2026-03-14
00261285,한국가스공사,036460,KOSPI,True,1208200557,1146710006125,Y,2026-03-14
00261355,레드캡투어,038390,KOSDAQ,True,1118126895,1101111303140,K,2026-03-14
00261373,마크로젠,038290,KOSDAQ,True,2088124115,1101111423576,K,2026-03-14
00261443,엔씨소프트,036570,KOSPI,True,2208143000,1101111387748,Y,2026-03-14
00261461,트라이콤,038410,,False,2148156233,1101110952047,E,2026-03-14
00261601,호성,035870,,False,3038118072,1545110003692,E,2026-03-14
00261656,잉크테크,049550,KOSDAQ,True,1238129764,1101110866785,K,2026-03-14
00261735,위노바,039790,,False,1348132798,1341110046313,E,2026-03-14
00261887,티엘아이,062860,,False,1298126130,1311110035640,E,2026-03-14
00261957,한국정보공학,039740,KOSDAQ,True,2298118298,1101110735766,K,2026-03-14
00262044,트리니티,053070,,False,3158119491,1545110007404,E,2026-03-14
00262123,유아이에너지,050050,,False,2158132175,1101110539390,E,2026-03-14
00262266,삼현,437730,KOSDAQ,True,6098109210,1901110012514,K,2026-03-14
00262275,엠씨티티코어,052210,,False,2208142296,1101111368938,E,2026-03-14
00262682,아인스엠앤엠,040740,,False,2208161779,1101111697832,E,2026-03-14
00263140,휴스토리,046400,,False,1268133030,1344110012061,E,2026-03-14
